Language_Type,Toxic_Word_or_Phrase,Context_or_Example_Sentence,Category_of_Toxicity
Hybrid,bloody erugu,This is bloody erugu shit,Other
Telugu,chetta,Fucking chetta,Other
Hybrid,hell doola lanja,What a hell doola lanja,Other
Telugu,,Nenu sports istapadadam ledu,Neutral
Hybrid,bloody dengu,I hate bloody dengus,Other
Telugu,lanja munda,lanja munda bastard,Hate Speech
Hybrid,bugger nee amma dengu,bugger nee amma dengu loser,Sexual / Obscene
Hybrid,dox modda,This is dox modda shit,Harassment / Bullying
Hybrid,bugger vedhava,bugger vedhava loser,Other
English,shithead,shithead bastard,Abusive / Insult
Telugu,kula gajji,Stop being a kula gajji,Hate Speech
Hybrid,knob gudda,You are a knob gudda,Sexual / Obscene
English,sod,sod loser,Other
Hybrid,twat guddha naku,twat guddha naku bastard,Sexual / Obscene
Hybrid,prick erugu,Fucking prick erugu,Abusive / Insult
English,dipshit,dipshit loser,Abusive / Insult
Hybrid,shut up chavu,Stop being a shut up chavu,Harassment / Bullying
Hybrid,transphobe nee amma,Go transphobe nee amma yourself,Hate Speech
Hybrid,sexist munda,Fucking sexist munda,Hate Speech
English,supremacist,What a supremacist,Hate Speech
Telugu,doola lanja,You are a doola lanja,Sexual / Obscene
Telugu,,Nenu {activity} dislike chestunnanu,Neutral
English,crap,You're such a crap,Other
Hybrid,bellend erri pooka,Fucking bellend erri pooka,Sexual / Obscene
Hybrid,bastard kula gajji,Stop being a bastard kula gajji,Abusive / Insult
Hybrid,sod chetta na kodaka,You're such a sod chetta na kodaka,Other
Telugu,erugu,erugu bastard,Abusive / Insult
Hybrid,xenophobe puku,This is xenophobe puku shit,Hate Speech
English,berk,berk loser,Other
English,dick,I hate dicks,Sexual / Obscene
Hybrid,supremacist lanja munda,supremacist lanja munda bastard,Hate Speech
Hybrid,dumbass donga na kodaka,Fucking dumbass donga na kodaka,Abusive / Insult
Hybrid,cock gudda,You are a cock gudda,Sexual / Obscene
Telugu,chetta na kodaka,Fucking chetta na kodaka,Abusive / Insult
English,nazi,nazi loser,Hate Speech
English,transphobe,I hate transphobes,Hate Speech
Hybrid,frig chetta,frig chetta bastard,Other
English,,Today is a weekend day,Neutral
Hybrid,shut up gudda dengu,shut up gudda dengu loser,Harassment / Bullying
English,bully,You are a bully,Harassment / Bullying
English,bigot,What a bigot,Hate Speech
Telugu,,Nenu {event} gurinchi santosham ga unnanu,Neutral
Hybrid,bugger chetta,You are a bugger chetta,Other
English,sod,You are a sod,Other
Hybrid,hell picchi,hell picchi loser,Other
English,tosser,Fucking tosser,Other
Hybrid,racist doola lanja,Stop being a racist doola lanja,Hate Speech
English,,The weather is {weather},Neutral
Hybrid,sexist pichchi kukka,Go sexist pichchi kukka yourself,Hate Speech
English,numpty,Go numpty yourself,Other
Hybrid,sod lanja,You are a sod lanja,Sexual / Obscene
Telugu,doola lanja,doola lanja bastard,Sexual / Obscene
English,bigot,Go bigot yourself,Hate Speech
Hybrid,bollocks doola lanja,Go bollocks doola lanja yourself,Sexual / Obscene
English,piss,This is piss shit,Other
Hybrid,homophobe vedhava,Stop being a homophobe vedhava,Hate Speech
English,,This makes me smile,Neutral
Hybrid,dick pedda salladhi,This is dick pedda salladhi shit,Sexual / Obscene
Telugu,,Nenu oka cow chusanu,Neutral
Telugu,puku,I hate pukus,Sexual / Obscene
Hybrid,piss picchi,This is piss picchi shit,Other
Hybrid,bloody chetta,Go bloody chetta yourself,Other
Telugu,pedda salladhi,You are a pedda salladhi,Sexual / Obscene
English,,I live in {city},Neutral
Telugu,moya,I hate moyas,Harassment / Bullying
Telugu,chetta,This is chetta shit,Other
Hybrid,dox nee amma dengu,You are a dox nee amma dengu,Harassment / Bullying
Hybrid,transphobe munda,This is transphobe munda shit,Hate Speech
Telugu,gaadida,This is gaadida shit,Abusive / Insult
English,numbskull,I hate numbskulls,Abusive / Insult
Telugu,picchi,This is picchi shit,Other
Hybrid,supremacist kula gajji,Stop being a supremacist kula gajji,Hate Speech
Hybrid,bollocks pedda salladhi,bollocks pedda salladhi bastard,Sexual / Obscene
Hybrid,sod vedhava,You are a sod vedhava,Other
Hybrid,plonker picchi,What a plonker picchi,Other
English,,I saw a {animal},Neutral
Hybrid,fuck picchi,You're such a fuck picchi,Sexual / Obscene
Hybrid,kill yourself doola lanja,This is kill yourself doola lanja shit,Harassment / Bullying
Hybrid,incel erugu,Stop being a incel erugu,Hate Speech
Hybrid,shit gudda,I hate shit guddas,Sexual / Obscene
English,stalker,You are a stalker,Harassment / Bullying
Hybrid,dox chetta,I hate dox chettas,Harassment / Bullying
Telugu,lanja munda,What a lanja munda,Hate Speech
Hybrid,motherfucker bosudi,I hate motherfucker bosudis,Sexual / Obscene
Hybrid,sod lanja,I hate sod lanjas,Sexual / Obscene
Hybrid,pussy erri pooka,pussy erri pooka bastard,Sexual / Obscene
English,cock,You're such a cock,Sexual / Obscene
Telugu,erugu,Stop being a erugu,Other
Hybrid,karen moya,What a karen moya,Hate Speech
Telugu,,Idi nannu chirunavvu chestundi,Neutral
English,bollocks,You're such a bollocks,Sexual / Obscene
Telugu,moya,moya loser,Harassment / Bullying
English,,What a tough day,Neutral
English,,The {object} is {color},Neutral
Hybrid,fuck modda,Fucking fuck modda,Sexual / Obscene
Telugu,gudda dengu,Go gudda dengu yourself,Harassment / Bullying
English,anti-semite,You are a anti-semite,Hate Speech
Telugu,vedhava,vedhava bastard,Other
Hybrid,hater chavugottu,Go hater chavugottu yourself,Hate Speech
Telugu,pandi vedhava,What a pandi vedhava,Abusive / Insult
Hybrid,fuck pooku,You are a fuck pooku,Sexual / Obscene
English,racist,Stop being a racist,Hate Speech
Hybrid,,This is great ra,Neutral
Telugu,nee amma dengu,Go nee amma dengu yourself,Harassment / Bullying
English,,The book is about math,Neutral
Hybrid,idiot erugu,idiot erugu bastard,Abusive / Insult
Hybrid,xenophobe kula gajji,This is xenophobe kula gajji shit,Hate Speech
Hybrid,fool pichoda,I hate fool pichodas,Abusive / Insult
Hybrid,incel doola lanja,incel doola lanja loser,Hate Speech
Telugu,picchi,Fucking picchi,Abusive / Insult
Hybrid,die munda,Stop being a die munda,Harassment / Bullying
Hybrid,douchebag addagadidha,douchebag addagadidha loser,Abusive / Insult
Telugu,dengu,This is dengu shit,Sexual / Obscene
English,harass,I hate harasss,Harassment / Bullying
Hybrid,prick modda,Fucking prick modda,Sexual / Obscene
English,bastard,Stop being a bastard,Abusive / Insult
English,sod,Go sod yourself,Other
Hybrid,threat lanja munda,What a threat lanja munda,Harassment / Bullying
Hybrid,knob picchi,knob picchi bastard,Sexual / Obscene
